Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
81,ESNcardiff,,6,29,35,6,29,35,14,0.147959,0.165739,87773.119067,1
82,hydroconsa,,0,231,231,0,231,231,4,0.447844,0.526786,0,0
83,golndn,,0,365,365,0,365,365,4,0.481699,0.579928,0,4
84,ALTADUNA_LAW,,2,602,604,2,602,604,3,0.637415,0.786019,95391.222199,0
85,Francisss2096,,0,689,689,0,689,689,1,1,1,0,3
86,Cromaeventos,,2,229,231,2,229,231,13,0.133567,0.145925,70183.416003,0
87,Studentsroom_pt,,4,191,195,4,191,195,11,0.217761,0.260585,647665.970952,3
88,podologoherrera,,2,311,313,2,311,313,10,0.192121,0.219478,867959.985027,0
89,IsidroLuna31,,1,644,645,1,644,645,3,0.541472,0.667882,64513.287062,4
90,echeverrylogos,,0,184,184,0,184,184,1,1,1,0,2
91,Ameni_Meh,,0,130,130,0,130,130,1,1,1,0,8
92,UstbusYu,,0,162,162,0,162,162,2,0.917526,0.955056,0,1
93,alinabalan3,,0,79,79,0,79,79,1,1,1,0,1
94,eushopme,,1,69,70,1,69,70,1,1,1,3418.063889,1
95,TitoMoreno6,,0,5,5,0,5,5,1,1,1,0,3
96,EmmaSG2619,,0,11,11,0,11,11,1,1,1,0,0
97,ASEJAGr,,3,419,422,3,419,422,12,0.135154,0.15352,680132.026325,6
98,NordicHorizonAB,,1,325,326,1,325,326,1,1,1,23466.153986,1
99,agneskocsany,,1,128,129,1,128,129,1,1,1,7240.792677,2
100,proyectodono,,3,1572,1575,3,1572,1575,2,0.94863,0.972924,160611.006189,4
101,casadelcantaor,,1,9,10,1,9,10,1,1,1,832.016342,0
102,ninogvelesiani,,0,512,512,0,512,512,1,1,1,0,1
103,SummerAbroadUAL,,3,334,337,3,334,337,1,1,1,29786.430148,1
104,_ONGestion,,0,92,92,0,92,92,1,1,1,0,4
105,alcard_ac,,2,619,621,2,619,621,1,1,1,67436.554354,1
106,damiano_gnn,,2,15,17,2,15,17,1,1,1,1687.711905,5
107,ESN_Azerbaijan,,6,16,22,6,16,22,1,1,1,1280.5088,1
108,JuntaGranada,,6,339,345,6,339,345,2,0.902613,0.946053,48455.8275,0
109,MalagaTrips,,0,317,317,0,317,317,1,1,1,0,0
110,examenesUGR,,2,1065,1067,2,1065,1067,8,0.232456,0.257752,333310.426646,6
111,Erasmuslovesyou,,1,11,12,1,11,12,1,1,1,236.989286,1
112,jujolorka,,1,111,112,1,111,112,14,0.148684,0.168237,530644.826194,4
113,FAsI_OH,,1,62,63,1,62,63,1,1,1,7440.781532,3
114,ESN_KTU,,8,14,22,8,14,22,2,0.684211,0.769231,2784.323485,1
115,Viento62047805,,0,2,2,0,2,2,1,1,1,0,3
116,TheNomanAhmed,,0,92,92,0,92,92,1,1,1,0,8
117,AbogadosTrafico,,3,279,282,3,279,282,15,0.112491,0.1329,124790.242017,4
118,MaevaCatalano,,0,108,108,0,108,108,1,1,1,0,2
